,siteID,lon,lat,height,name
102,RGWV,176.210852928,-38.352568427,490.0,Waikite Valley Road
103,TURI,176.382558492,-40.26498279,538.166,Te Uri
104,HAMT,175.109198208,-37.806755379,69.4115,Hamilton
105,RAUM,177.677525303,-37.965002597,1140.976,Raukumara Range
106,WPUK,176.44059928,-40.06420523,344.435,Waipukurau
107,NPLY,174.118174082,-39.182557422,416.9195,New Plymouth
108,VGMT,175.47046106,-39.384583124,836.5289,Mangateitei
109,RAWI,177.415398552,-38.495555956,932.0,Rawiri
110,BTHL,175.136541348,-41.3404896,78.8487,Battery Hill
111,KAWK,176.42277,-39.42404,831.0,Kaweka Forest
112,VGNG,175.60115,-39.17556,1453.644,Ngauruhoe
113,NRSW,176.200037533,-40.113323422,364.054,Norsewood
114,RGAW,176.896164405,-38.003197011,104.798,Awakeri
115,CAST,176.20155589,-40.90981771,173.636,Castlepoint Station
116,KERE,176.37013505,-39.64315592,520.891,Kereru
117,KOKO,177.667786,-39.01610531,301.825,Kokohu
118,RGHD,176.365924493,-38.093658784,515.484,Hawthornden Drive
119,VGOB,175.542240377,-39.199838765,1161.26,Chateau Observatory
120,OHIN,175.790675494,-39.918289832,530.658,Ohingaiti
121,MANG,175.57486925,-40.66869722,418.01,Mangatainoka River
122,FRTN,177.409873784,-38.939296943,169.463,Frasertown
123,VGOT,175.6651391,-39.163065898,1508.174,Oturere
124,OKOH,174.060283,-41.019262,334.0,Okoha
125,MAST,175.584577829,-41.061990623,207.197,Masterton
126,GRNG,175.459264187,-39.976254724,365.8342,Grange Hill
127,OPTK,177.307578963,-38.046521999,127.477,Opotiki
128,TGHO,175.99633101,-38.812861691,385.999,Horomatangi Reef
129,MATW,177.5262032,-38.33384691,646.269,Matawai
130,2406,175.994779555,-38.691850862,442.7694,C KAIAPO TLP
131,OROA,176.68067166,-40.10435506,279.0,Oueroa
132,VGKR,175.641309034,-39.094406187,1210.537,Karewarewa
133,BIRF,176.24610828,-40.67976734,308.983,Birch Farm
134,WITH,173.9842523,-41.5606413,408.0,Wither Hills
135,VGMO,175.754300805,-39.407404947,899.61,Moawhango Dam
136,NMAI,176.806622735,-39.09704167,857.565,Naumai
137,KAPT,174.90976461,-40.86090134,367.612,Kapiti
138,WPAW,176.54300597,-39.89587961,293.452,Waipawa
